$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 27, 2025 19:38:50

*RUN   1        : 0 KG N/HA DRY             CSCER048 SWSW7501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : SWSW7501 WH N RESPONSE,SWIFT CURRENT  7FE(N)*2IR  (DSSAT3)
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : 0 KG N/HA DRY             CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 1975 185    53    40  25.0  -6.0 32.94  6.35  0.58  2.29 161.9  1.01 0.155  1.16  1907    14   262  1631   400  1231     0  0.00     0     0   968     0 22.51 2.206  59.3     0     0  1052   252  0.76  0.80  64.9  21.0  1.94  0.00  0.00  0.00  0.15  0.15  0.15   0.4  0.00  0.33  0.00  0.00
 1975 186    54    41  23.5  -6.0 34.15  6.60  0.61  2.21 175.0  1.12 0.178  1.30  2067    14   282  1771   449  1322     0  0.00     0     0  1013     0 23.75 2.513  57.2     0     0  1127   249  0.79  0.81  63.7  18.9  1.96  0.00  0.00  0.00  0.18  0.18  0.18   0.3  0.00  0.23  0.00  0.00
 1975 187    55    42  25.5  -6.0 35.47  6.86  0.64  1.98 181.5  1.21 0.198  1.41  2232    14   303  1916   490  1425     0  0.00     0     0  1074     0 25.11 2.872  56.1     0     0  1127   248  0.81  0.81  65.3  16.1  1.73  0.00  0.00  0.00  0.23  0.23  0.23   0.3  0.05  0.37  0.00  0.00
 1975 188    56    43  19.0  -6.0 36.45  7.05  0.68  2.02 161.3  1.33 0.222  1.55  2380    14   321  2045   542  1502     0  0.00     0     0  1101     0 26.13 3.160  53.8     0     0  1127   246  0.83  0.81  63.7  20.5  2.87  0.00  0.00  0.00  0.25  0.25  0.25   0.3  0.00  0.00  0.00  0.00
 1975 189    57    44  17.5  -6.0 37.36  7.23  0.71  1.93 177.6  1.46 0.249  1.71  2543    14   341  2187   598  1589     0  0.00     0     0  1129     0 27.06 3.441  51.6     0     0  1123   243  0.84  0.81  61.6  17.5  2.59  0.00  0.00  0.00  0.29  0.29  0.29   0.2  0.00  0.00  0.00  0.00
 1975 190    58    45  19.0  -6.0 38.34  7.43  0.74  1.81 173.7  1.58 0.277  1.86  2702    14   361  2327   655  1671     0  0.00     0     0  1151     0 28.08 3.765  49.5     0     0  1121   242  0.86  0.81  59.5  15.7  2.01  0.00  0.00  0.00  0.33  0.33  0.33   0.2  0.00  0.00  0.00  0.00
 1975 191    59    46  17.0  -6.0 39.22  7.60  0.76  1.71 195.1  1.69 0.304  2.00  2881    14   383  2483   704  1779     0  0.00     0     0  1194     0 29.00 4.072  48.1     0     0  1120   240  0.88  0.81  56.7  13.1  1.58  0.00  0.00  0.00  0.37  0.37  0.37   0.2  0.00  0.00  0.00  0.00
 1975 192    60    47  18.0  -6.0 40.17  7.79  0.78  1.63 185.9  1.80 0.332  2.13  3051    14   404  2632   754  1879     0  0.00     0     0  1229     0 29.98 4.417  46.7     0     0  1120   239  0.90  0.81  54.0  12.2  1.32  0.00  0.00  0.00  0.40  0.40  0.40   0.2  0.00  0.00  0.00  0.00
 1975 193    61    48  20.5  -6.0 41.36  7.79  0.78  1.47 171.9  1.78 0.353  2.13  3209    14   424  2771   747  2018     0  0.00     0     0  1277     6 29.98 4.831  46.2     0     0  1120   238  0.92  0.81  51.6  10.8  0.94  0.11  0.06  0.27  0.42  0.42  0.42   0.3  0.00  0.03  0.00  0.00
 1975 194    62    49  22.0  -6.0 42.64  7.79  0.77  1.13 120.1  1.75 0.367  2.12  3320    14   436  2869   740  2117     0  0.00     0     0  1313    12 29.98 5.297  46.0     0     0  1120   237  0.93  0.82  50.7  11.3  0.69  0.61  0.31  0.47  0.40  0.40  0.40   0.3  0.00  0.13  0.00  0.00
 1975 195    63    50  23.5  -6.0 44.00  7.79  0.76  0.95 107.7  1.70 0.375  2.07  3419    14   448  2958   718  2211     0  0.00     0     0  1356    29 29.98 5.810  46.3     0     0  1120   236  0.95  0.82  50.4  10.4  0.55  0.90  0.45  0.58  0.37  0.37  0.37   0.3  0.00  0.23  0.00  0.00
 1975 196    64    51  23.5  -6.0 45.37  7.79  0.75  0.97 103.9  1.64 0.383  2.02  3515    14   458  3043   696  2302     0  0.00     0     0  1398    45 29.98 6.336  46.6     0     0  1120   235  0.97  0.82  50.4  10.9  0.54  0.92  0.46  0.59  0.33  0.33  0.33   0.6  0.00  0.23  0.00  0.00
 1975 197    65    52  19.5  -6.0 46.50  7.79  0.75  1.24 101.3  1.62 0.395  2.01  3610    14   467  3128   690  2387     0  0.00     0     0  1429    51 29.98 6.783  46.4     0     0  1120   234  0.99  0.84  53.0  16.3  0.64  0.71  0.36  0.50  0.29  0.29  0.29   0.7  0.00  0.00  0.00  0.00
 1975 198    66    53  19.0  -6.0 47.61  7.79  0.74  1.78 185.0  1.60 0.420  2.02  3784    14   483  3287   684  2547     0  0.00     0     0  1482    57 29.98 7.227  45.9     0     0  1120   233  1.00  0.86  50.8  12.3  0.88  0.25  0.12  0.33  0.25  0.25  0.25   0.4  0.00  0.00  0.00  0.00
 1975 199    67    54  18.0  -6.0 48.65  7.79  0.73  0.97  87.7  1.55 0.426  1.97  3865    14   491  3360   664  2625     0  0.00     0     0  1518    71 29.98 7.661  46.2     0     0  1120   233  1.02  0.83  50.8  14.6  0.46  1.00  0.54  0.65  0.22  0.22  0.22   0.4  0.00  0.00  0.00  0.00
 1975 200    68    55  18.0  -6.0 49.70  7.79  0.72  0.91  84.3  1.50 0.432  1.93  3944    14   499  3431   645  2669     0  0.00    32    32  1553    85 29.98 8.103  46.4     0     0  1120   232  1.03  0.83  51.2  14.5  0.41  1.00  0.59  0.68  0.18  0.18  0.18   1.2  0.00  0.00  0.00  0.00
 1975 201    69    56  19.0  -6.0 52.77  7.79  0.71  0.82  81.2  1.45 0.438  1.88  4019    14   507  3498   625  2665     0  0.00   109    63  1587    98 29.98 8.577  46.7     0     0  1120   231  1.05  0.83  51.7  13.1  0.35  1.00  0.65  0.73  0.14  0.14  0.14   2.0  0.00  0.00  0.00  0.00
 1975 202    70    57  19.0  -6.0 56.57  7.79  0.70  0.83  81.1  1.40 0.446  1.85  4095    14   514  3567   609  2665     0  0.00   183    94  1620   110 29.98 9.058  46.9     0     0  1120   230  1.06  0.85  52.4  13.6  0.35  1.00  0.65  0.73  0.11  0.11  0.11   2.0  0.00  0.00  0.00  0.00
